,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
532,MG Hector is a great car with all the necessary features loaded in it.,"Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/loaded-car-68628.htm
533,"MG Hector is a very nice car for a small family, and one of the best features getting in this car.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superb-car-68616.htm
534,"Superb Experience in MG Hector SUV. Their Interior and Exterior too. I their voice command feather. Superb Controlling power and space, smooth drive, and strong service of Morris Garage. I loved MG Hector is the Car this year.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/sensational-suv-68604.htm
535,"MG Hector is an excellent car with all the attractive features. Also, in terms of the price range, this is a good option.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-68603.htm
536,"As per the spec and look I would rate MG Hector for the highest. With such amazing features, we get this car at this price is an excellent thing. I hope they do not hike the price. Everyone may go for this at this price.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superb-car-68599.htm
537,"This car has all the thing that you want and the best part is human voice recognition and internet linked. this car has the highest power in its segment and it also left Scorpio behind in power. You can get a little disappointed by the less no. Of physical button, although you have to set the AC speed with the screen.","Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/best-in-segment-68627.htm
538,"MG cars, Nice look and smart.  Waiting for it. new car new segment new hope for a car lover.","Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-amazing-car-68623.htm
539,"It is a very good looking car. I felt the plastic quality inside was poor. The headlights were on the bumpers at the bottom is going to be an expensive affair in India. In this traffic, one is always banging their bumpers.","Jun 25, 2019",3,NA,https://www.cardekho.com/user-review/mg-hector/a-good-car-68303.htm
540,"Finally, MG Hector launched in India we all are waiting for this car it is middle size SUV, but suitable for family purpose. So finally it's fantastic looking or features wise.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-68588.htm
541,"MG Hector is the best SUV in this price range, the car design is fantastic, so I am very excited about this car.","Jun 26, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/great-looks-and-design-68398.htm
